ResultId;AthleteId;RaceId;RaceName;Gender;Birthyear;CountryIso;County;Municipality;Status;ActualStartTime;FinishNetto;Place;PlaceClass;PlaceTotal;_5Km;_10Km;_15Km;_20Km
598720;70410;267;Göteborgsvarvet 2010;M;1973;SWE;VÄSTRA GÖTALAND;PARTILLE;FNS; 14:37:24;02:07:30;16728;0;20776;00:27:14;00:58:50;01:27:11;02:00:14
598806;158130;267;Göteborgsvarvet 2010;M;1979;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 15:26:50;02:06:28;16196;0;19995;00:31:12;01:01:02;01:30:57;02:00:35
580126;229199;267;Göteborgsvarvet 2010;F;1964;NOR;;NULL;FNS; 14:01:47;01:59:51;2256;0;14738;00:26:31;00:53:52;01:23:03;01:53:55
599453;179330;267;Göteborgsvarvet 2010;M;1981;SWE;JÖNKÖPING;JÖNKÖPING;FNS; 15:26:43;01:49:22;6166;0;6884;00:25:26;00:50:49;01:16:46;01:44:02
592140;256539;267;Göteborgsvarvet 2010;M;1955;SWE;STOCKHOLM;VÄRMDÖ;FNS; 14:00:19;02:03:12;14392;0;17391;00:26:39;00:54:19;01:23:41;01:57:10
591568;207177;267;Göteborgsvarvet 2010;M;1966;SWE;JÖNKÖPING;JÖNKÖPING;FNS; 15:07:55;02:33:38;25281;0;34546;00:34:26;01:09:51;01:46:39;02:25:43
591001;128067;267;Göteborgsvarvet 2010;F;1971;SWE;JÖNKÖPING;JÖNKÖPING;FNS; 15:34:33;02:30:28;8842;0;33638;00:37:07;01:11:11;01:46:21;02:23:13
620216;226282;267;Göteborgsvarvet 2010;M;1986;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 15:07:39;02:58:52;27000;0;37860;00:41:39;01:22:48;02:05:32;02:50:15
611048;21221;267;Göteborgsvarvet 2010;M;1971;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 14:00:29;01:56:40;10329;0;11944;00:24:50;00:50:15;01:18:25;01:50:18
597713;74052;267;Göteborgsvarvet 2010;M;1972;SWE;JÖNKÖPING;HABO;FNS; 14:12:19;02:00:45;13006;0;15453;00:25:17;00:53:24;01:23:38;01:54:16
579667;80320;267;Göteborgsvarvet 2010;M;1983;SWE;VÄSTRA GÖTALAND;VÄNERSBORG;FNS; 15:48:56;01:54:15;8805;0;10087;00:26:27;00:51:59;01:18:36;01:47:42
601734;259321;267;Göteborgsvarvet 2010;M;1958;SWE;HALLAND;KUNGSBACKA;FNS; 15:20:45;02:49:19;26674;0;37221;00:35:03;01:15:34;01:57:04;02:40:54
585732;90564;267;Göteborgsvarvet 2010;M;1958;SWE;VÄSTRA GÖTALAND;SKÖVDE;FNS; 13:50:31;01:51:24;7246;0;8180;00:24:06;00:48:53;01:15:13;01:45:00
607254;67294;267;Göteborgsvarvet 2010;M;1951;SWE;STOCKHOLM;LIDINGÖ;FNS; 13:51:27;01:47:48;5344;0;5939;00:25:40;00:51:20;01:17:26;01:42:43
594255;39562;267;Göteborgsvarvet 2010;F;1990;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 14:30:20;02:15:14;5935;0;26393;00:28:20;01:00:18;01:34:01;02:08:38
594578;219965;267;Göteborgsvarvet 2010;F;1981;SWE;STOCKHOLM;STOCKHOLM;FNS; 13:51:55;01:45:23;415;0;4751;00:23:36;00:48:31;01:14:17;01:40:19
610007;85614;267;Göteborgsvarvet 2010;M;1965;SWE;VÄSTRA GÖTALAND;UDDEVALLA;FNS; 13:51:45;01:51:36;7351;0;8306;00:24:47;00:49:52;01:17:10;01:46:01
561485;245828;267;Göteborgsvarvet 2010;M;1801;DNK;NULL;NULL;FNS; 14:46:52;02:02:37;14050;0;16909;00:29:17;00:57:52;01:27:01;01:56:55
617106;76545;267;Göteborgsvarvet 2010;M;1966;SWE;VÄSTRA GÖTALAND;BORÅS;FNS; 14:12:14;02:17:45;21416;0;27931;00:25:47;00:54:54;01:30:40;02:10:27
598680;52248;267;Göteborgsvarvet 2010;M;1953;SWE;STOCKHOLM;DANDERYD;FNS; 13:51:17;01:55:05;9318;0;10700;00:25:32;00:51:29;01:19:04;01:49:24
584770;231381;267;Göteborgsvarvet 2010;F;1987;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 15:42:21;02:05:56;3676;0;19589;00:28:58;00:57:56;01:28:14;01:59:50
609878;220946;267;Göteborgsvarvet 2010;M;1964;SWE;VÄSTRA GÖTALAND;SKÖVDE;FNS; 14:14:02;01:55:34;9606;0;11074;00:25:14;00:50:58;01:19:46;01:49:35
605569;209646;267;Göteborgsvarvet 2010;F;1971;SWE;JÖNKÖPING;JÖNKÖPING;FNS; 14:38:22;02:06:48;3873;0;20261;00:28:08;00:56:54;01:28:03;02:00:11
554881;243139;267;Göteborgsvarvet 2010;M;1986;SWE;STOCKHOLM;TÄBY;FNS; 13:30:02;01:11:17;19;0;19;00:16:45;00:32:57;00:49:35;01:07:22
570590;110921;267;Göteborgsvarvet 2010;F;1984;SWE;ÖREBRO;ÖREBRO;FNS; 14:51:29;02:27:01;8315;0;32384;00:30:24;01:06:00;01:41:52;02:19:48
618345;188029;267;Göteborgsvarvet 2010;F;1962;SWE;ÖSTERGÖTLAND;MOTALA;FNS; 15:06:01;02:19:12;6857;0;28810;00:31:16;01:03:40;01:37:49;02:12:13
617053;98888;267;Göteborgsvarvet 2010;M;1974;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 14:13:21;01:47:20;5135;0;5690;00:23:31;00:47:59;01:14:04;01:41:31
563342;246917;267;Göteborgsvarvet 2010;M;1801;DNK;NULL;NULL;FNS; 14:31:23;02:08:16;17117;0;21335;00:27:47;00:56:23;01:26:37;02:00:58
587691;168293;267;Göteborgsvarvet 2010;M;1955;SWE;HALLAND;KUNGSBACKA;FNS; 14:44:43;02:24:31;23454;0;31336;00:28:40;01:01:46;01:36:56;02:16:57
607839;260932;267;Göteborgsvarvet 2010;M;1976;SWE;VÄRMLAND;EDA;FNS; 14:44:15;02:27:11;24116;0;32455;00:29:14;01:03:44;01:40:27;02:19:14
563344;246919;267;Göteborgsvarvet 2010;M;1801;DNK;NULL;NULL;FNS; 14:01:02;02:05:21;15594;0;19129;00:25:40;00:52:13;01:21:03;01:56:19
608978;59866;267;Göteborgsvarvet 2010;M;1961;SWE;VÄSTRA GÖTALAND;UDDEVALLA;FNS; 15:14:13;02:16:54;21112;0;27440;00:33:01;01:04:42;01:36:59;02:10:09
605485;260336;267;Göteborgsvarvet 2010;M;1986;SWE;HALLAND;HALMSTAD;FNS; 15:20:08;02:13:22;19625;0;25107;00:26:27;00:59:59;01:33:22;02:07:16
574921;206792;267;Göteborgsvarvet 2010;M;1981;SWE;BLEKINGE;RONNEBY;FNS; 13:39:21;01:40:46;2681;0;2902;00:22:28;00:45:50;01:10:44;01:35:52
572493;151444;267;Göteborgsvarvet 2010;M;1988;SWE;VÄSTRA GÖTALAND;GÖTEBORG;FNS; 13:51:24;01:52:29;7811;0;8851;00:25:03;00:50:23;01:18:05;01:46:38
596736;1867;267;Göteborgsvarvet 2010;F;1969;SWE;NULL;NULL;FNS; 15:27:45;02:38:58;9838;0;35781;00:35:23;01:11:29;01:49:20;02:31:14
